,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,EFG_PCT_A,FTA_RATE_A,TM_TOV_PCT_A,OREB_PCT_A,OPP_EFG_PCT_A,OPP_FTA_RATE_A,OPP_TOV_PCT_A,OPP_OREB_PCT_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,EFG_PCT_B,FTA_RATE_B,TM_TOV_PCT_B,OREB_PCT_B,OPP_EFG_PCT_B,OPP_FTA_RATE_B,OPP_TOV_PCT_B,OPP_OREB_PCT_B
1,0021700977,1610612765,Pistons,DET,Detroit,240:00,0.525,0.222,0.17,0.244,0.403,0.108,0.138,0.311,1610612741,Bulls,CHI,Chicago,240:00,0.403,0.108,0.138,0.164,0.525,0.222,0.17,0.267
2,0021700977,1610612741,Bulls,CHI,Chicago,240:00,0.403,0.108,0.138,0.164,0.525,0.222,0.17,0.267,1610612765,Pistons,DET,Detroit,240:00,0.525,0.222,0.17,0.244,0.403,0.108,0.138,0.311
1,0021700975,1610612756,Suns,PHX,Phoenix,240:00,0.386,0.196,0.139,0.111,0.606,0.338,0.173,0.136,1610612760,Thunder,OKC,Oklahoma City,240:00,0.606,0.338,0.173,0.136,0.386,0.196,0.139,0.206
2,0021700975,1610612760,Thunder,OKC,Oklahoma City,240:00,0.606,0.338,0.173,0.136,0.386,0.196,0.139,0.206,1610612756,Suns,PHX,Phoenix,240:00,0.386,0.196,0.139,0.111,0.606,0.338,0.173,0.136
1,0021700974,1610612750,Timberwolves,MIN,Minnesota,240:00,0.532,0.138,0.13,0.25,0.557,0.31,0.109,0.239,1610612738,Celtics,BOS,Boston,240:00,0.557,0.31,0.109,0.196,0.532,0.138,0.13,0.269
2,0021700974,1610612738,Celtics,BOS,Boston,240:00,0.557,0.31,0.109,0.196,0.532,0.138,0.13,0.269,1610612750,Timberwolves,MIN,Minnesota,240:00,0.532,0.138,0.13,0.25,0.557,0.31,0.109,0.239
1,0021700973,1610612755,76ers,PHI,Philadelphia,240:00,0.483,0.244,0.173,0.167,0.551,0.202,0.15,0.24,1610612748,Heat,MIA,Miami,240:00,0.551,0.202,0.15,0.12,0.483,0.244,0.173,0.185
2,0021700973,1610612748,Heat,MIA,Miami,240:00,0.551,0.202,0.15,0.12,0.483,0.244,0.173,0.185,1610612755,76ers,PHI,Philadelphia,240:00,0.483,0.244,0.173,0.167,0.551,0.202,0.15,0.24
1,0021700972,1610612766,Hornets,CHA,Charlotte,240:00,0.506,0.353,0.124,0.133,0.571,0.239,0.115,0.304,1610612751,Nets,BKN,Brooklyn,240:00,0.571,0.239,0.115,0.196,0.506,0.353,0.124,0.244
2,0021700972,1610612751,Nets,BKN,Brooklyn,240:00,0.571,0.239,0.115,0.196,0.506,0.353,0.124,0.244,1610612766,Hornets,CHA,Charlotte,240:00,0.506,0.353,0.124,0.133,0.571,0.239,0.115,0.304
1,0021700976,1610612759,Spurs,SAS,San Antonio,240:00,0.484,0.189,0.114,0.189,0.474,0.242,0.097,0.304,1610612744,Warriors,GSW,Golden State,240:00,0.474,0.242,0.097,0.214,0.484,0.189,0.114,0.283
2,0021700976,1610612744,Warriors,GSW,Golden State,240:00,0.474,0.242,0.097,0.214,0.484,0.189,0.114,0.283,1610612759,Spurs,SAS,San Antonio,240:00,0.484,0.189,0.114,0.189,0.474,0.242,0.097,0.304
1,0021700970,1610612743,Nuggets,DEN,Denver,240:00,0.547,0.209,0.208,0.298,0.58,0.207,0.102,0.174,1610612739,Cavaliers,CLE,Cleveland,240:00,0.58,0.207,0.102,0.152,0.547,0.209,0.208,0.404
2,0021700970,1610612739,Cavaliers,CLE,Cleveland,240:00,0.58,0.207,0.102,0.152,0.547,0.209,0.208,0.404,1610612743,Nuggets,DEN,Denver,240:00,0.547,0.209,0.208,0.298,0.58,0.207,0.102,0.174
1,0021700966,1610612761,Raptors,TOR,Toronto,265:00,0.505,0.208,0.092,0.19,0.561,0.256,0.149,0.26,1610612765,Pistons,DET,Detroit,265:00,0.561,0.256,0.149,0.18,0.505,0.208,0.092,0.241
2,0021700966,1610612765,Pistons,DET,Detroit,265:00,0.561,0.256,0.149,0.18,0.505,0.208,0.092,0.241,1610612761,Raptors,TOR,Toronto,265:00,0.505,0.208,0.092,0.19,0.561,0.256,0.149,0.26
